mouse_life_stage,Middle aged adult
analysis_id,d483672mlt965k8
pvalue,0.4477396
parameter_name,PP1 + pulse startle magnitude
gene_symbol,Snap23
parameter_id,ESLIM_011_001_007
gene_accession_id,MGI:109356
mouse_strain,C57BL
