parameter_id,MGP_BMI_006_001
gene_accession_id,MGI:105072
pvalue,0.3402328
mouse_life_stage,Early adult
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
analysis_id,6eo04p446x9xp0f
gene_symbol,Rab22a
mouse_strain,C57BL
