analysis_id,orl5x98xjm5fod1
gene_accession_id,MGI:1929242
parameter_id,MGP_IMM_071_001
parameter_name,Total CD4+ T cells - % of CD45+
pvalue,0.4777723
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ivd
