parameter_name,Retina (combined)
pvalue,0.5736942
mouse_life_stage,E15.5
mouse_strain,C57BL
analysis_id,328rau45xvm144m
parameter_id,JAXLA_EYE_092_001
gene_symbol,Mecom
gene_accession_id,MGI:95457
