analysis_id,swo872mz1057r6j
pvalue,0.6426646
parameter_name,PP4 + pulse startle magnitude
mouse_strain,C57BL
gene_symbol,Npbwr1
parameter_id,ESLIM_011_001_010
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
