analysis_id,5z688vhil341699
mouse_strain,C57BL
pvalue,0.933804
parameter_name,Placenta Size
gene_symbol,Hspa5
gene_accession_id,MGI:95835
parameter_id,IMPC_GPP_004_001
mouse_life_stage,E9.5
