parameter_name,Ulna
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
parameter_id,IMPC_XRY_023_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
pvalue,0.1276518
analysis_id,n4krj13jl4ln7e9
