analysis_id,yr2ui3k1rn9brlm
pvalue,0.3709461
gene_symbol,Car13
gene_accession_id,MGI:1931322
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Breath rate during sleep standard deviation
parameter_id,JAX_SLW_014_001
