gene_symbol,Dnaaf9
mouse_life_stage,Early adult
gene_accession_id,MGI:1923029
analysis_id,0wh5612229b6svj
mouse_strain,C57BL
parameter_id,MGP_IMM_022_001
pvalue,0.255538
parameter_name,KLRG1+ gd T cells - % of gd T cells
