analysis_id,984u48rf40y98d4
mouse_strain,C57BL
gene_symbol,Inpp1
parameter_id,MGP_CSD_008_001
parameter_name,Startle response
pvalue,0.9147062
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
