gene_symbol,Bmi1
pvalue,0.7809509
parameter_id,IMPC_CBC_013_001
analysis_id,2jw934lh2iqz9o5
parameter_name,Alanine aminotransferase
gene_accession_id,MGI:88174
mouse_strain,C57BL
mouse_life_stage,E12.5
