gene_symbol,Bdh2
parameter_name,Humerus
pvalue,0.5299472
mouse_strain,C57BL
parameter_id,IMPC_XRY_021_001
mouse_life_stage,Early adult
analysis_id,5s51rh3065i67ta
gene_accession_id,MGI:1917022
