gene_symbol,Nipal3
parameter_id,MGP_MLN_064_001
gene_accession_id,MGI:1921802
parameter_name,Total CD4+ T cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.7642975
analysis_id,5g67s3o7i23z973
mouse_strain,129SV
