gene_symbol,Mgst2
parameter_id,ESLIM_005_001_005
mouse_life_stage,Early adult
gene_accession_id,MGI:2448481
mouse_strain,C57BL
pvalue,0.5752374
analysis_id,hx387dn74f52g57
parameter_name,Bone Mineral Content
