analysis_id,z669tm7k7c6l525
pvalue,0.862669
gene_accession_id,MGI:2140475
parameter_name,Coat colouration
parameter_id,M-G-P_026_001_004
gene_symbol,AU040320
mouse_life_stage,Early adult
mouse_strain,C57BL
