gene_symbol,Ncaph
pvalue,0.2411012
analysis_id,q1e3d8c4xb2ylqo
parameter_id,MGP_IMM_036_001
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of NK cells
mouse_strain,C57BL
gene_accession_id,MGI:2444777
