analysis_id,6476xj228a82859
pvalue,0.07231247
gene_accession_id,MGI:1921802
parameter_name,Body weight
gene_symbol,Nipal3
parameter_id,M-G-P_009_001_003
mouse_life_stage,Early adult
mouse_strain,129SV
