analysis_id,8x3562zh9bx6aah
parameter_id,MGP_MLN_033_001
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Bmi1
pvalue,0.6832989
parameter_name,Resting NK cells - % of NK cells
gene_accession_id,MGI:88174
