analysis_id,9v17640z795t130
gene_accession_id,MGI:1915087
mouse_life_stage,E12.5
pvalue,0.5710702
gene_symbol,TIPRL
mouse_strain,C57BL
parameter_id,IMPC_GEL_027_001
parameter_name,Neural tube closure
