gene_symbol,Etfdh
analysis_id,7o2v8u1v198m57y
parameter_name,Sodium
gene_accession_id,MGI:106100
pvalue,0.8577948
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_001_001
