gene_symbol,Sass6
gene_accession_id,MGI:1920026
mouse_strain,C57BL
analysis_id,772t16i352l8h49
parameter_name,Humerus
mouse_life_stage,E12.5
pvalue,0.8446685
parameter_id,IMPC_XRY_021_001
