analysis_id,6828180ian48851
mouse_strain,C57BL
gene_symbol,Arpc2
parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
pvalue,0.2223865
