analysis_id,7nk039b871tl3rm
gene_accession_id,MGI:2684980
mouse_strain,C57BL
pvalue,0.2165163
mouse_life_stage,Early adult
gene_symbol,Mms22l
parameter_name,center - resting time
parameter_id,M-G-P_007_001_011
