analysis_id,c9k3efp235x92o0
parameter_name,Cholesterol ratio
pvalue,0.7323383
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Nanp
gene_accession_id,MGI:1914561
parameter_id,IMPC_CBC_058_001
