parameter_name,BMC/Body weight
mouse_life_stage,Early adult
analysis_id,86p2i4yj1188x9v
pvalue,0.2088507
mouse_strain,C57BL
parameter_id,IMPC_DXA_007_001
gene_accession_id,MGI:1920344
gene_symbol,Sgip1
