gene_symbol,Bpifa3
parameter_name,Periphery permanence time
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
mouse_strain,129SV
parameter_id,IMPC_OFD_012_001
analysis_id,lpc4r82ur6e37q7
pvalue,0.9175729
