gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
pvalue,0.5439514
analysis_id,v46i14x7xlb27q9
parameter_name,DN CD44+CD62L+ NKT cells
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,IMPC_IMM_047_001
