analysis_id,28u0l6z8g29wxv7
parameter_id,JAXLA_DXA_007_001
pvalue,0.881902
parameter_name,BMC/Body weight
gene_accession_id,MGI:2140475
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_symbol,AU040320
