analysis_id,o28spn30sh7nx37
mouse_life_stage,Early adult
parameter_name,Number of rears - total
parameter_id,JAX_OFD_021_001
gene_symbol,Gja10
gene_accession_id,MGI:1339969
mouse_strain,C57BL
pvalue,1.098904
