parameter_id,IMPC_ABR_002_001
mouse_strain,C57BL
gene_accession_id,MGI:2685053
analysis_id,e9tyt58g6lhx35o
pvalue,0.8700782
parameter_name,Click-evoked ABR threshold
gene_symbol,Ntmt2
mouse_life_stage,Early adult
