gene_symbol,Sprr1b
mouse_strain,C57BL
parameter_name,Coat - color - abdomen
mouse_life_stage,Early adult
gene_accession_id,MGI:106659
parameter_id,IMPC_CSD_007_001
pvalue,0.1572919
analysis_id,0512b86vw66ehp0
