gene_symbol,Col6a3
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
parameter_name,Clavicle
mouse_strain,C57BL
parameter_id,IMPC_XRY_007_001
analysis_id,vbk91x8l2y837a4
pvalue,0.5475226
