gene_symbol,Serinc3
mouse_strain,C57BL
analysis_id,6e6adg26zwdrq93
gene_accession_id,MGI:1349457
parameter_id,MGP_MLN_063_001
pvalue,0.6742913
parameter_name,Total ab T cells - % of CD45+
mouse_life_stage,Early adult
