parameter_name,DN CD44+CD62L+ NKT cells
parameter_id,IMPC_IMM_047_001
analysis_id,b1vj7b35qzi2bnk
mouse_strain,C57BL
gene_symbol,Toporsl
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
pvalue,0.5935433
