analysis_id,2p3jwvwjbj55w69
gene_symbol,Lamb3
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_accession_id,MGI:99915
pvalue,0.8430764
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_MLN_072_001
