gene_symbol,Zmynd8
gene_accession_id,MGI:1918025
parameter_id,IMPC_ACS_037_001
pvalue,0.3852702
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - Global
analysis_id,3gnlo9m7jg6f8t5
