parameter_name,Monocytes
pvalue,0.1965912
gene_symbol,Col6a3
analysis_id,8074oi147u12m39
parameter_id,IMPC_IMM_051_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
mouse_strain,C57BL
