parameter_id,HRWLLA_FEA_015_001
parameter_name,Cue Baseline % Freezing Time
mouse_strain,C57BL
pvalue,0.157862
gene_accession_id,MGI:2443129
analysis_id,0y5np0xj6u3z3h8
gene_symbol,Golm2
mouse_life_stage,Early adult
