parameter_name,Light side time spent
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cisd2
parameter_id,JAX_LDT_002_001
pvalue,0.6545956
analysis_id,mig88jdk3c2113o
gene_accession_id,MGI:1914256
