analysis_id,ei4oythyg0wna1q
parameter_id,JAXLA_CSD_022_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
pvalue,0.05124246
gene_symbol,F2
parameter_name,Hindlimbs - size
mouse_strain,C57BL
