analysis_id,gr98503ec54326i
parameter_id,IMPC_CSD_011_001
mouse_life_stage,E15.5
gene_symbol,Mecom
pvalue,0.8929063
mouse_strain,C57BL
gene_accession_id,MGI:95457
parameter_name,Coat - hair distribution - back
