analysis_id,av7ool8783154ud
mouse_life_stage,E9.5
gene_accession_id,MGI:97838
mouse_strain,C57BL
parameter_name,Zygomatic bone
gene_symbol,Eprs1
pvalue,0.5626819
parameter_id,IMPC_XRY_002_001
