Gene_symbol,Lcn2
Pvalue,0.8083376
analysis_id,699htb0nd411lz6
Mouse_strain,C57BL
Gene_accession_id,MGI:96757
parameter_id,HMGULA_HWT_008_001
Parameter_name,Heart weight
Mouse_life_stage,Early adult
