gene_symbol,Ivd
parameter_name,PP1 + pulse startle magnitude
gene_accession_id,MGI:1929242
parameter_id,ESLIM_011_001_007
analysis_id,l9s538154ufeyg1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4563535
