parameter_name,Prepulse inhibition - PP2
mouse_strain,C57BL
gene_symbol,Bmi1
parameter_id,ESLIM_011_001_702
mouse_life_stage,E12.5
pvalue,0.3101021
gene_accession_id,MGI:88174
analysis_id,a7pkzqs8566eb5k
