analysis_id,6d901ar834yr733
parameter_id,MGP_IMM_067_001
mouse_strain,C56BL
mouse_life_stage,Early adult
gene_symbol,Tox
gene_accession_id,MGI:2181659
pvalue,0.4976941
parameter_name,CD11b-low cDC - % of cDC
