parameter_name,Basophil cell count
analysis_id,3p8g74vv08lr483
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
pvalue,0.6769023
mouse_strain,C57BL
parameter_id,IMPC_HEM_037_001
