parameter_id,IMPC_ECH_008_001
pvalue,0.8533372
parameter_name,LVIDd
mouse_life_stage,Early adult
gene_symbol,Rap2b
mouse_strain,C57BL
analysis_id,q9qc43f9j5fr624
gene_accession_id,MGI:1921262
