parameter_name,Basophil differential count
pvalue,0.1408805
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,g375g47a542h4f8
parameter_id,IMPC_HEM_038_001
