analysis_id,a5gryn245j8qd54
parameter_name,Activity (body position)
gene_symbol,Trp53i11
pvalue,0.6005641
mouse_life_stage,Early adult
gene_accession_id,MGI:2670995
mouse_strain,C57BL
parameter_id,IMPC_CSD_029_001
