parameter_name,Ly6Clow monocyte percentage
analysis_id,53f08r6233450t3
pvalue,0.7255084
gene_accession_id,MGI:2446274
parameter_id,MGP_PBI_018_001
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Frmpd1
