analysis_id,f0yr7pnfq63369r
parameter_name,Mean platelet volume
gene_symbol,Fgb
pvalue,0.5129627
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,IMPC_HEM_019_001
gene_accession_id,MGI:99501
