Analysis_id,7663sv00nk71bzn
Pvalue,0.2032917
Parameter_name,Forelimb and hindlimb grip strength normalised against body weight
Mouse_strain,C57BL
Parameter_id,JAXLA_GRS_011_001
Mouse_life_stage,Early adult
Gene_accession_id,MGI:104640
Gene_symbol,Rab17
