parameter_id,JAXLA_DXA_009_001
pvalue,0.07979159
gene_symbol,Clvs1
mouse_life_stage,Early adult
parameter_name,Fat/Body weight
gene_accession_id,MGI:1921688
mouse_strain,C57BL
analysis_id,gtr3ztfx486z498
