parameter_name,Placenta Size
gene_symbol,Hspa5
mouse_strain,C57BL
analysis_id,5s6mft741k1qn11
mouse_life_stage,E12.5
parameter_id,IMPC_GPP_004_001
pvalue,0.7966508
gene_accession_id,MGI:95835
