analysis_id,0i0six4b6syx41f
parameter_id,IMPC_DXA_009_001
gene_accession_id,MGI:1933159
gene_symbol,Rnf114
mouse_life_stage,Early adult
parameter_name,Fat/Body weight
pvalue,0.522503
mouse_strain,C57BL
