analysis_id,3t7au8y67x5fc3f
parameter_name,Aggression
gene_accession_id,MGI:1913105
pvalue,0.6829694
gene_symbol,Slc28a2
parameter_id,IMPC_CSD_079_001
mouse_life_stage,Early adult
mouse_strain,C57BL
