mouse_strain,129SV
gene_accession_id,MGI:1332236
analysis_id,gi9bah49lh26k35
parameter_name,Resting NK cells - % of NK cells
gene_symbol,Cds2
mouse_life_stage,Early adult
pvalue,0.8062805
parameter_id,MGP_MLN_033_001
