gene_symbol,Tox
gene_accession_id,MGI:2181659
pvalue,0.3007343
parameter_id,MGP_IMM_070_001
analysis_id,mzm70v4654850kt
parameter_name,Total ab T cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
