parameter_name,DN NKT cells
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,kbmj88w329vds20
pvalue,0.810405
gene_symbol,Toporsl
parameter_id,IMPC_IMM_013_001
