parameter_name,Periphery permanence time
parameter_id,IMPC_OFD_012_001
gene_accession_id,MGI:3033992
analysis_id,6440j3y844rs93c
pvalue,1.233437
mouse_strain,C57BL
gene_symbol,Cldn19
mouse_life_stage,Early adult
