analysis_id,a1rwap2v4q0xes0
pvalue,0.8296337
gene_accession_id,MGI:1914515
mouse_life_stage,E9.5
parameter_name,CD8+ KLRG1+ alpha beta T cell number
parameter_id,MGP_PBI_033_001
mouse_strain,C57BL
gene_symbol,Slc39a10
