analysis_id,1c8pm26ui2ant9o
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_010_001
gene_symbol,Dnajc8
parameter_name,Bone Area
gene_accession_id,MGI:1915848
mouse_strain,C57BL
pvalue,0.8547905
