analysis_id,w662737c0tx5b60
pvalue,0.6953191
mouse_strain,C57BL
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
gene_accession_id,MGI:1919949
parameter_id,MGP_IMM_094_001
gene_symbol,Lime1
mouse_life_stage,Early adult
